专家	zhuan1jia1	NOUN:expert
篇	pian1	MEAS:sheet-of-paper/piece-of-writing
适用	huo2yong4	VERB:apply-flexibly/have-multiple-uses
意	#3:yi4	NOUN:meaning/idea
列	lie4	VERB:line-up/arrange
交	jiao1	VERB:hand-over/deliver
事物	shi4wu4	NOUN:thing/object
改	gai3	#3:VERB:change
密切	mi4qie4	ADJ:close/intimate
机械	ji1xie4	#2:NOUN:machine
特色	te4se4	#3:NOUN:characteristic
知	#2:zhi1	#2:VERB:know
宏观	hong2guan1	ADJ:macro-/macroscopic
除	chu2	#2:PREP:except/besides
队伍	dui4wu5	NOUN:troops/contingent
主任	zhu3ren4	NOUN:director/head
层次	ceng2ci4	NOUN:administrative-level/rank-order
未来	wei4lai2	NOUN:the-future/time-yet-to-come
自我	zi4wo3	#2:PRON:self
城镇	cheng2zhen1	NOUN:cities-and-towns
基	#2:ji1	#3:NOUN:base/foundation
初	#2:chu1	PRT:first-(in-order)-
农	nong2	#2:NOUN:agriculture
即使	ji2shi3	CONJ:even-though
伟大	wei3da4	ADJ:great/mighty
讲	jiang3	VERB:speak/tell
核心	he2xin1	NOUN:nucleus/core
批评	pi1ping2	NOUN:criticism
活	huo2	VERB:live
科	ke1	NOUN:branch-of-study
效率	xiao4lv4	NOUN:efficiency
转移	zhuan3yi2	VERB:transfer/divert
毛泽东	Mao2-Ze2dong1	NOUN:Mao-Zedong
打	da3	VERB:strike/hit
其它	#2:qi2ta1	#2:PRON:others/the-rest
查	cha2	#2:VERB:investigate
探索	tan4suo3	VERB:explore/probe
生态	sheng1tai4	NOUN:ecology
设立	she4li4	#4:VERB:establish
立法	li4fa3	NOUN:legislation
损失	sun3shi1	NOUN:loss-(of-money/possessions)
经常	jing1chang2	#2:ADV:often
流动	liu2dong4	NOUN:flow
当地	dang1di4	NOUN:local-place
最终	zui4zhong1	ADV:final/ultimate
降低	jiang4di1	#2:VERB:reduce
段	duan4	MEAS:section/paragraph
清	qing1	ADJ:clear/pure
实验	shi2yan4	NOUN:experiment/test
通	tong1	VERB:communicate/connect
全球	quan2qiu2	NOUN:the-whole-world
差异	cha1yi4	NOUN:difference
避免	bi4mian3	VERB:avoid/refrain-from
主管	zhu3guan3	NOUN:person-in-charge
际	#4:ji4	NOUN:border
及时	ji2shi2	ADV:in-timely-fashion/promptly
术	#2:shu4	#2:NOUN:art
德	de2	NOUN:morals/virtue
一天	yi4tian1	ADV:one-day
司法	si1fa3	NOUN:administration-of-justice
字	#2:zi4	NOUN:written-character
管	#2:guan3	VERB:be-in-charge-of/bother-about
落实	luo4shi2	VERB:decide-in-advance/implement
加快	jia1kuai4	VERB:speed-up/accelerate
值得	zhi2de5	VERB:be-worth-it/be-of-value
儿童	er2tong2	NOUN:children
出发	chu1fa1	VERB:start-a-journey/depart
素质	su4zhi4	NOUN:quality/character
来源	lai2yuan2	NOUN:source/origin
站	#3:zhan4	NOUN:station/stop
同意	tong2yi4	VERB:agree
父亲	fu4qin5	NOUN:father
进口	jin4kou3	NOUN:entrance-(place)
逻辑	luo2ji5	#2:NOUN:logic
相应	xiang1ying4	ADJ:corresponding/relevant
上升	shang4sheng1	VERB:rise/go-up
像	#4:xiang4	VERB:resemble/be-like
外交	wai4jiao1	NOUN:diplomacy/foreign-affairs
电	dian4	#2:NOUN:electron
室	#5:shi4	NOUN:room-(in-a-building)
诉讼	su4song4	NOUN:lawsuit
本质	ben3zhi4	NOUN:essence/true-nature
总体	zong3ti3	NOUN:totality
抓	zhua1	VERB:seize/scratch
台	tai2	NOUN:platform
图	tu2	NOUN:map
留	liu2	VERB:remain/stay
高度	gao1du4	ADJ:altitude/high-degree
请	qing3	VERB:request/ask
求	qiu2	VERB:beg/request
选举	xuan3ju3	NOUN:election
不要	bu2yao4	AUXV:don't
车	che1	NOUN:car
死	si3	VERB:die
平等	ping2deng3	ADJ:equal
今后	jin1hou4	NOUN:days-to-come/henceforth
选	xuan3	#2:VERB:select
路线	lu4xian4	NOUN:route/itinerary
显示	xian3shi4	VERB:show/demonstrate
令	#2:ling4	VERB:command/decree
感	gan3	NOUN:feeling/sense
倍	#2:bei4	MEAS:-times/-fold
固定	gu4ding4	ADJ:fixed/regular
训练	xun4lian4	#2:NOUN:training
立	#3:li4	VERB:stand
感觉	gan3jue2	NOUN:feeling/perception
经历	jing1li4	VERB:experience
比重	bi3zhong4	#2:NOUN:proportion
法国	Fa3guo2	NOUN:France
理想	li3xiang3	NOUN:ideal/dream
产权	chan3quan2	NOUN:property-rights
多少	duo1shao3	ADJ:how-much?
冲突	chong1tu1	NOUN:conflict/clash
协议	xie2yi4	NOUN:agreement
层	#2:ceng2	MEAS:layer/floor
加工	jia1gong1	NOUN:processing/machining
所有制	suo3you3zhi4	NOUN:(system-of)-ownership
秩序	zhi4xu4	NOUN:order/sequence
检查	jian3cha2	NOUN:check/examination
尽	#2:jin3	VERB:give-priority-to
情	qing2	NOUN:feelings/sentiment
钱	#2:qian2	NOUN:money
毕业	bi4ye4	VERB:graduate/finish-school
统治	tong3zhi4	NOUN:rule/domination
投入	tou2ru4	VERB:put-into/invest
有着	you3zhe5	#4:VERB:have/possess
己	#2:ji3	#2:PRON:oneself
不知	bu4zhi1	ADV:unknowingly
公开	gong1kai1	#2:ADJ:public
案件	an4jian4	NOUN:law-case
母亲	mu3qin1	NOUN:mother
著名	zhu4ming2	ADJ:famous
鼓励	gu3li4	VERB:encourage/urge
亚	ya4	ADJ:second/inferior
报道	bao4dao4	NOUN:news-reporting/story
记者	ji4zhe3	NOUN:reporter/journalist
登记	deng1ji4	VERB:register
税收	shui4shou1	NOUN:tax-revenue
那里	na4li5	PRON:that-place/there
也许	ye3xu3	ADV:perhaps
谈	tan2	VERB:talk/chat
文艺	wen2yi4	NOUN:art-and-literature
联	lian2	VERB:ally/unite
民间	min2jian1	ADJ:folk/nongovernmental
适当	shi4dang4	ADJ:suitable/appropriate
一段	yi2duan4	NOUN:one-paragraph
线	#3:xian4	NOUN:string/wire
支	#3:zhi1	MEAS:stick/song/army-unit/watt
学科	xue2ke1	#2:NOUN:branch-of-study
别	bie2	#2:AUXV:don't
针对	zhen1dui4	CONJ:in-connection-with
苏联	Su1lian2	NOUN:Soviet-Union
小组	xiao3zu3	#2:NOUN:group
国外	guo2wai4	NOUN:overseas/abroad
单	dan1	ADV:solely/alone
么	me5	PRT:-(interrogative/adverb)
绝	#2:jue2	ADV:absolutely-(not)/extremely
视	#6:shi4	VERB:look-at
基层	ji1ceng2	NOUN:basic-level/grassroots-unit
步	#3:bu4	MEAS:(foot)step
强烈	qiang2lie4	ADJ:strong/intense
找到	zhao3dao4	#2:VERB:find
规则	gui1ze2	#2:NOUN:rule/stipulation
先	xian1	ADV:earlier
持	chi2	#2:VERB:keep/maintain
可是	ke3shi4	#6:CONJ:but
危机	wei1ji1	NOUN:crisis
探讨	tan4tao3	#2:VERB:explore/probe
团体	tuan2ti3	NOUN:organization/team
允许	yun3xu3	VERB:allow/permit
质	#3:zhi4	#2:NOUN:quality/nature
显然	xian3ran2	ADV:obvious/noticeable
考察	kao3cha2	#3:VERB:investigate
认	#2:ren4	#2:VERB:acknowledge/recognize
面临	mian4lin2	VERB:be-faced-with
死亡	si3wang2	#2:VERB:die
战斗	zhan4dou4	NOUN:battle
一下	yi2xia4	ADV:in-a-short-while/all-at-once
今年	jin1nian2	NOUN:this-year
部长	bu4zhang3	NOUN:minister/section-head
生育	sheng1yu4	VERB:give-birth-to
人生	ren2sheng1	#2:NOUN:life
一步	yi2bu4	NOUN:one-step
且	qie3	CONJ:not-to-mention/let-alone
华	hua2	NOUN:best-part/China
德国	De2guo2	NOUN:Germany
如下	ru2xia4	VERB:is-as-follows.
结论	jie2lun4	NOUN:conclusion/verdict
条例	tiao2li4	NOUN:regulation/rule
支出	zhi1chu1	NOUN:expenditure/disbursement
操作	cao1zuo4	VERB:operate-(a-machine)
病	#2:bing4	NOUN:disease/ailment
协会	xie2hui4	NOUN:association/society
结	#2:jie2	NOUN:knot
生物	sheng1wu4	NOUN:living-thing
观察	guan1cha2	VERB:observe/examine
背景	bei4jing3	NOUN:background/backdrop
总结	zong3jie2	VERB:summarize
传播	chuan2bo1	VERB:spread/disseminate
倾向	qing1xiang4	#2:NOUN:trend/tendency
西	xi1	#2:NOUN:west
工会	gong1hui4	NOUN:trade-union
准	zhun3	#2:VERB:allow/permit
办事	ban4shi4	VERB:handle-affairs/work
体育	ti3yu4	NOUN:sports/physical-training
克	ke4	MEAS:gram
股份	gu3fen4	NOUN:share/stock
案	#2:an4	#2:NOUN:law-case
个体	ge4ti3	#2:NOUN:individual
人大	Ren2-Da4	NOUN:People's-Congress/People's-University
公民	gong1min2	#2:NOUN:citizen
女	nv3	ADJ:female
抗日	kang4-Ri4	NOUN:Resist-Japan
年底	nian2di3	NOUN:the-end-of-a-year
武装	wu3zhuang1	NOUN:armed-forces
传	chuan2	VERB:spread/transmit
积累	ji1lei3	VERB:accumulate
进程	jin4cheng2	#2:NOUN:course/history
厘米	li2mi3	MEAS:centimeter
小时	xiao3shi2	NOUN:hour
绝对	jue2dui4	ADJ:absolute
党员	dang3yuan2	NOUN:party-member
大力	da4li4	ADV:vigorously
始终	shi3zhong1	ADV:from-start-to-finish
统	tong3	#6:NOUN:system
优秀	you1xiu4	ADJ:excellent
户	hu4	#2:NOUN:household
利润	li4run4	#3:NOUN:profit
必	bi4	ADV:certainly
指挥	zhi3hui1	NOUN:commander
落后	luo4hou4	VERB:lag-behind
调	diao4	NOUN:tune/accent
医院	yi1yuan4	NOUN:hospital
证券	zheng4quan4	NOUN:negotiable-securities
不久	bu4jiu3	ADV:soon
完整	wan2zheng3	ADJ:complete
初步	chu1bu4	NOUN:first-stages
拉	la1	VERB:pull
印度	Yin2du4	NOUN:India
产量	chan3liang4	NOUN:output/yield
规	gui1	#2:NOUN:regulation/rule
手	shou3	NOUN:hand
杂志	za2zhi4	NOUN:magazine
年轻	nian2qing1	ADJ:young
设置	she4zhi4	VERB:set-up/install
调节	tiao2jie2	VERB:adjust/regulate
位置	wei4zhi4	NOUN:position
共产	gong4chan3	NOUN:communist
外资	wai4zi1	NOUN:foreign-investment
发出	fa1chu1	VERB:send-out
推广	tui1guang3	#2:VERB:spread/disseminate
记载	ji4zai4	NOUN:record/account
班	ban1	NOUN:squad
保	bao3	#2:NOUN:protection
喜欢	xi3huan5	VERB:like
意味	yi4wei4	VERB:mean/imply
团结	tuan2jie2	VERB:unite
仅仅	jin3jin3	#4:ADV:only
习惯	xi2guan4	NOUN:habit/custom
目	mu4	NOUN:eye/item
审计	shen3ji4	NOUN:audit
究	jiu1	#4:VERB:investigate
房	fang2	NOUN:house/room
科研	ke1yan2	NOUN:scientific-research
途径	tu2jing4	NOUN:way/channel
总统	zong3tong3	NOUN:president
压力	ya1li4	NOUN:pressure
食品	shi2pin3	NOUN:foodstuff
财务	cai2wu4	NOUN:financial-affairs
办公室	ban4gong1shi4	NOUN:office
转	zhuan3	VERB:turn
告诉	gao4su4	VERB:tell
计算机	ji4suan4ji1	NOUN:calculator/computer
特定	te4ding4	#2:ADJ:specific
合法	he2fa3	ADJ:lawful
程	#2:cheng2	NOUN:order/procedure
打击	da3ji1	#2:VERB:strike/hit
封建	feng1jian4	NOUN:feudalism
词	ci2	NOUN:word
成绩	cheng2ji4	#2:NOUN:achievement
工商	gong1shang1	NOUN:industry-and-commerce
意思	yi4si5	#2:NOUN:meaning
城	#3:cheng2	#3:NOUN:city
教授	jiao4shou4	NOUN:professor
原来	yuan2lai2	ADV:originally
经费	jing1fei4	NOUN:funds/outlay
流通	liu2tong1	NOUN:circulation
敌人	di2ren2	NOUN:enemy
老	lao3	ADJ:old
找	zhao3	VERB:seek
秘书	mi4shu1	NOUN:secretary
早	zao3	ADJ:early
依靠	yi1kao4	VERB:rely-on
政权	zheng4quan2	NOUN:political-power
本文	ben3wen2	NOUN:this-text
占有	zhan4you3	#5:VERB:have/possess
石油	shi2you2	NOUN:petroleum
事务	#2:shi4wu4	NOUN:work/routine
解	jie3	VERB:untie/separate
宪法	xian4fa3	NOUN:constitution/charter
污染	wu1ran3	NOUN:pollution
交换	jiao1huan4	VERB:exchange/swap
师	shi1	#2:NOUN:master
依法	yi1fa3	ADV:according-to-the-law
其实	qi2shi2	ADV:in-fact
人均	ren2jun1	ADJ:per-capita
表达	biao3da2	VERB:express
这么	zhe4me5	ADV:so/like-this
有力	you3li4	ADJ:strong
引进	yin3jin4	VERB:introduce-from-elsewhere
日益	ri4yi4	ADV:increasingly
具	#2:ju4	MEAS:tool/corpse
夫	fu1	NOUN:husband
古代	gu3dai4	NOUN:antiquity
指示	#2:zhi3shi4	NOUN:instruction
供	#3:gong1	#2:VERB:supply
格	ge2	NOUN:grid
关注	guan1zhu4	VERB:pay-close-attention-to
消息	xiao1xi5	#2:NOUN:news
能源	neng2yuan2	NOUN:energy
评论	ping2lun4	NOUN:comment/commentary
支付	zhi1fu4	VERB:pay-money
预算	yu4suan4	NOUN:budget
举办	ju3ban4	VERB:hold-(an-event)
种种	zhong3zhong3	ADJ:various
人士	ren2shi4	#2:NOUN:person
生存	sheng1cun2	NOUN:survival
族	zu2	NOUN:race/nationality
立即	li4ji2	ADV:immediately
看法	kan4fa3	NOUN:view/way-of-looking-at-things
高等	gao1deng3	ADJ:higher/advanced
吨	dun1	MEAS:ton
器	qi4	NOUN:instrument/utensil
广告	guang3gao4	NOUN:advertisement
普通	pu3tong1	ADJ:ordinary
可见	ke3jian4	CONJ:it-can-thus-be-seen
助	#2:zhu4	VERB:help
职务	zhi2wu4	NOUN:post/job/duties
改进	gai3jin4	VERB:improve
公里	gong1li3	MEAS:kilometer
代理	dai4li3	NOUN:proxy/substitute
于是	yu2shi4	#2:ADV:consequently
多样	duo1yang4	ADJ:diversified/varied
补充	bu3chong1	VERB:replenish
兴趣	xing4qu4	NOUN:interest/hobby
前提	qian2ti2	NOUN:premise
修改	xiu1gai3	VERB:modify
原始	yuan2shi3	ADJ:original
巩固	gong3gu4	VERB:consolidate/strengthen
记录	ji4lu4	NOUN:record/(meeting)-notes
治理	zhi4li3	VERB:bring-under-control/put-in-order
总额	zong3e2	NOUN:total-amount/sum-total
基地	ji1di4	#4:NOUN:base/foundation
实质	shi2zhi4	NOUN:substance/essence
至少	zhi4shao3	ADV:at-least
形	#3:xing2	#2:NOUN:form/shape
同一	tong2yi1	#2:ADJ:identical/same
平方	ping2fang1	NOUN:square
接	jie1	VERB:receive-(phone-call/visitor)
贫困	pin2kun4	ADJ:poor/impoverished
标志	biao1zhi4	NOUN:sign/mark
引导	yin3dao3	VERB:lead/guide
眼睛	yan3jing5	NOUN:eye
东	dong1	NOUN:east
高级	gao1ji2	ADJ:high-ranking/high-level
用户	yong4hu4	NOUN:consumer/user
彻底	che4di3	ADV:thoroughly
社区	she4qu1	NOUN:community
予以	yu3yi3	VERB:give/grant
南	#2:nan2	NOUN:south
回答	hui2da2	VERB:answer/reply
日报	ri4bao4	NOUN:daily-paper
失败	shi1bai4	VERB:fail/be-defeated
决议	jue2yi4	NOUN:resolution/decision
取	qu3	VERB:choose/take
批判	pi1pan4	NOUN:critique
把握	ba3wo4	VERB:hold/grasp
以外	yi3wai4	PRT:-beyond/-outside
数字	shu4zi4	NOUN:numeral/figure
命令	ming4ling4	NOUN:order/command
学报	xue2bao4	NOUN:academic-journal
名称	ming2cheng1	NOUN:name-(of-an-organization)
那个	na4ge5	#2:PRON:that
典型	dian3xing2	ADJ:typical/representative
试验	shi4yan4	#2:NOUN:experiment/test
相信	xiang1xin4	VERB:believe/be-convinced-of
司	#2:si1	NOUN:ministry-department
专	zhuan1	NOUN:specialty
常	#2:chang2	ADV:frequently/often
若干	ruo4gan1	ADJ:a-number-of/certain
有时	you3shi2	ADV:sometimes
包含	bao1han2	VERB:contain/imply
武器	wu3qi4	NOUN:weapon/arms
张	#2:zhang1	MEAS:flat-objects/table/bed/paper
失去	shi1qu4	VERB:lose-(a-condition-or-person-not-object)
使得	shi3de5	VERB:can-be-used/be-usable
思考	si1kao3	VERB:ponder-over/think-deeply-on
育	yu4	VERB:rear/educate
经理	jing1li3	NOUN:manager
爸	ba4	#2:NOUN:father
通常	tong1chang2	ADV:generally
帝国	di4guo2	NOUN:empire
平	ping2	ADJ:flat/level
企	#2:qi3	#2:NOUN:enterprise
情形	qing2xing5	#2:NOUN:circumstances
配合	pei4he2	VERB:coordinate
导	dao3	#2:VERB:lead/guide
维持	wei2chi2	#3:VERB:keep/maintain
村	cun1	NOUN:village
人数	ren2shu4	NOUN:number-of-people
外汇	wai4hui4	NOUN:foreign-exchange
群体	qun2ti3	NOUN:group/colony-(biology)
戏剧	xi4ju4	NOUN:drama/play
危险	wei1xian3	NOUN:danger
记	#5:ji4	VERB:remember/record
书记	shu1ji5	#2:NOUN:secretary
派	pai4	NOUN:faction/group
争取	zheng1qu3	VERB:strive-for/fight-for
坚决	jian1jue2	ADJ:resolute/determined
分布	fen1bu4	VERB:distribute/scatter
承包	cheng2bao1	#2:NOUN:contract
年度	nian2du4	NOUN:year
参考	can1kao3	NOUN:reference-(e.g.-book)
先后	xian1hou4	ADV:in-succession
曾经	ceng2jing1	#2:ADV:once/formerly
抗战	kang4zhan4	NOUN:war-of-resistance
文献	wen2xian4	NOUN:document/literature
分类	fen1lei4	NOUN:classification
讲话	jiang3hua4	#2:NOUN:speech
连续	lian2xu4	ADV:in-a-row
诗人	shi1ren2	NOUN:poet
句	#3:ju4	MEAS:sentence
离开	li2kai1	VERB:leave/depart
欢迎	huan1ying2	VERB:welcome
首	#2:shou3	MEAS:song/poem
具备	ju4bei4	#6:VERB:have/possess
全体	quan2ti3	NOUN:all/entire
