的	de5	PRT:of
市场	shi4chang3	NOUN:market
出	chu1	VERB:go-out
教育	jiao4yu4	NOUN:education
文化	wen2hua4	NOUN:culture
公司	gong1si1	NOUN:corporation
关系	guan1xi5	NOUN:connections
很	hen3	ADV:very
看	kan4	VERB:look
后	hou4	PRT:after
万	wan4	NUM:10k
就是	jiu4shi4	#2:ADV:precisely
历史	li4shi3	NOUN:history
下	xia4	PRT:down
元	yuan2	MEAS:dollar
使	shi3	VERB:send
能	neng2	#2:VERB:can
或	huo4	CONJ:or
并	bing4	#3:CONJ:and
组织	zu3zhi1	NOUN:organization
建设	jian4she4	NOUN:construction
政治	zheng4zhi4	NOUN:politics
情况	qing2kuang4	NOUN:circumstances
更	geng4	ADV:even-more
生活	sheng1huo2	NOUN:life
你	ni3	PRON:you
思想	si1xiang3	NOUN:thought
新	xin1	ADJ:new
改革	gai3ge2	NOUN:reform
世界	shi4jie4	NOUN:world
没有	mei2you3	VERB:doesn't-have
地区	di4qu1	NOUN:area
及	ji2	#4:CONJ:and
这些	zhe4xie1	ADJ:these
四	si4	NUM:4
五	wu3	NUM:5
活动	huo2dong4	NOUN:activity
我国	wo3guo2	NOUN:our-country
这个	zhe4ge5	ADJ:this-one
制度	zhi4du4	NOUN:system
科学	ke1xue2	NOUN:science
国	guo2	#2:NOUN:country
多	duo1	ADJ:many
又	you4	ADV:again
由于	you2yu2	PREP:owing-to
认为	ren4wei2	VERB:think-that
间	jian1	PRT:room
必须	bi4xu1	VERB:must
基础	ji1chu3	NOUN:basis
一些	yi4xie1	ADJ:some
部门	bu4men2	NOUN:department
产品	chan3pin3	NOUN:product
可	ke3	#3:VERB:can
应	ying1	VERB:promise
因此	yin1ci3	ADV:therefore
民族	min2zu2	NOUN:ethnic-group
作用	zuo4yong4	NOUN:action
政策	zheng4ce4	NOUN:policy
因为	yin1wei4	PREP:because
她	#3:ta1	PRON:she
条件	tiao2jian4	NOUN:requirement
九	jiu3	NUM:9
工业	gong1ye4	NOUN:industry
向	xiang4	PREP:towards
次	ci4	MEAS:occurrence
业	ye4	NOUN:line-of-business
国际	guo2ji4	NOUN:internationalism
建立	jian4li4	VERB:establish
如果	ru2guo3	CONJ:if
具有	ju4you3	VERB:possess
农业	nong2ye4	NOUN:agriculture
部	#2:bu4	NOUN:part
市	#2:shi4	NOUN:city
法	fa3	NOUN:law
做	zuo4	VERB:do
最	zui4	ADV:the-most
作	#2:zuo4	#2:VERB:do
重要	zhong4yao4	ADJ:important
人员	ren2yuan2	NOUN:personnel
结构	jie2gou4	NOUN:structure
党	dang3	NOUN:political-party
提出	ti2chu1	VERB:put-forward
几	ji3	NUM:how-many/a-few
美国	Mei3guo2	NOUN:United-States
计划	ji4hua4	NOUN:project
但是	dan4shi4	#2:ADV:but
中央	zhong1yang1	NOUN:center
领导	ling3dao3	NOUN:leadership
通过	tong1guo4	PREP:by-way-of
将	jiang1	ADV:will-soon
好	hao3	VERB:good
过程	guo4cheng2	NOUN:course/history
主要	zhu3yao4	ADJ:main
家	jia1	NOUN:household
已	#2:yi3	ADV:already
以及	yi3ji2	CONJ:as-well-as
关于	guan1yu2	PREP:with-regard-to
化	hua4	NOUN:change
方法	fang1fa3	NOUN:method
会议	hui4yi4	NOUN:meeting
不是	bu2shi4	CONJ:is-not
成为	cheng2wei2	VERB:become
其中	qi2zhong1	NOUN:among
投资	tou2zi1	NOUN:investment
影响	ying3xiang3	NOUN:influence
系统	xi4tong3	#2:NOUN:system
总	zong3	ADJ:total
形式	xing2shi4	NOUN:form
成	cheng2	#2:VERB:become
根据	gen1ju4	PREP:on-the-basis-of
可能	ke3neng2	VERB:maybe
地方	di4fang1	NOUN:place
服务	fu2wu4	NOUN:service
环境	huan2jing4	NOUN:environment
劳动	lao2dong4	NOUN:labor
时间	shi2jian1	NOUN:time-(span)
革命	ge2ming4	NOUN:revolt
法律	fa3lv4	NOUN:statute
需要	xu1yao4	VERB:need
同时	tong2shi2	ADV:simultaneously
内容	nei4rong2	NOUN:content
代表	dai4biao3	NOUN:representative
对于	dui4yu2	PREP:in-regard-to
而且	er2qie3	ADV:furthermore
方式	fang1shi4	#2:NOUN:method
学	xue2	NOUN:study
机构	ji1gou4	NOUN:mechanism
内	nei4	PRT:inside
精神	jing1shen2	NOUN:essence
人们	ren2men5	NOUN:people
存在	cun2zai4	VERB:exist
单位	dan1wei4	NOUN:unit
有关	you3guan1	ADJ:relevant
阶级	jie1ji2	NOUN:phase
起来	qi3lai5	VERB:arise
农村	nong2cun1	NOUN:rural-area
六	liu4	NUM:6
城市	cheng2shi4	#2:NOUN:city
项	#2:xiang4	MEAS:item
水平	shui3ping2	NOUN:level
也是	ye3shi4	#2:ADV:also
较	jiao4	ADV:clearly
省	sheng3	NOUN:province
基本	ji1ben3	ADJ:basic
包括	bao1kuo4	VERB:include
理论	li3lun4	#2:NOUN:-ism
开始	kai1shi3	VERB:begin
此	ci3	PRON:this
已经	yi3jing5	#2:ADV:already
全	quan2	ADJ:complete/whole
实现	shi2xian4	VERB:make-real
经营	jing1ying2	#2:NOUN:management
为了	wei4le5	#3:PREP:for
社	she4	#2:NOUN:society
规定	gui1ding4	NOUN:rule
知识	zhi1shi5	NOUN:knowledge
提高	ti2gao1	VERB:raise
七	qi1	NUM:7
银行	yin2hang2	NOUN:bank
每	mei3	ADJ:every
不同	bu4tong2	ADJ:not-alike
加强	jia1qiang2	VERB:strengthen
提供	ti2gong1	VERB:supply
不能	bu4neng2	ADV:unable
发生	fa1sheng1	VERB:happen
许多	xu3duo1	#2:ADJ:many
行政	xing2zheng4	NOUN:administration
信息	xin4xi1	NOUN:information
出现	chu1xian4	VERB:emerge
用	yong4	VERB:use
八	ba1	NUM:8
个人	ge4ren2	NOUN:individual
如	ru2	ADV:if
委员会	wei3yuan2hui4	NOUN:committee
艺术	yi4shu4	NOUN:art
里	li3	#2:PRT:inside
人口	ren2kou3	NOUN:population
得到	de2dao4	VERB:succeed-in-obtaining
群众	qun2zhong4	#2:NOUN:the-people
只	zhi3	ADV:only
现在	xian4zai4	NOUN:now/modern-times
解决	jie3jue2	VERB:solve
增加	zeng1jia1	VERB:increase
所以	suo3yi3	#2:ADV:therefore
则	ze2	ADV:in-that-case
亿	yi4	NUM:100M
价值	jia4zhi2	NOUN:value
产业	chan3ye4	NOUN:property
过	guo4	PRT:in-the-past
资产	zi1chan3	#2:NOUN:property
行为	xing2wei2	#2:NOUN:action
资源	zi1yuan2	NOUN:natural-resources
要求	yao1qiu2	VERB:demand
资金	zi1jin1	NOUN:fund
能力	neng2li4	NOUN:ability
资本	zi1ben3	NOUN:economic-capital
们	men5	NOUN:plural-suffix
意义	yi4yi4	NOUN:meaning
一次	yi2ci4	ADV:linear
权	#2:quan2	NOUN:authority
某	mou3	ADJ:certain/particular
特别	te4bie2	ADV:especially
原则	yuan2ze2	NOUN:principle
资料	zi1liao4	NOUN:material
北京	Bei3jing1	NOUN:Beijing
区	qu1	NOUN:region
本	ben3	MEAS:books
中心	zhong1xin1	#2:NOUN:center
农民	nong2min2	NOUN:peasant
即	#2:ji2	ADV:at-present
大学	da4xue2	NOUN:college
文学	wen2xue2	NOUN:literature
形成	xing2cheng2	VERB:form
变化	bian4hua4	#2:NOUN:change
知道	zhi1dao5	VERB:know
事	#3:shi4	NOUN:issue/matter/thing
年代	nian2dai4	NOUN:age/time
该	gai1	ADJ:said/given
商品	shang1pin3	NOUN:merchandise
这样	zhe4yang4	ADV:in-this-way
局	ju2	NOUN:bureau/branch
运动	yun4dong4	NOUN:movement
部分	bu4fen5	#2:NOUN:part
比	bi3	PREP:compared-to
只有	zhi3you3	#2:ADV:only
无	wu2	VERB:not-have
实行	shi2xing2	VERB:implement
时期	shi2qi1	NOUN:period-of-time
体制	ti3zhi4	#3:NOUN:system
去	qu4	VERB:go
产生	chan3sheng1	VERB:produce
一定	yi1ding4	ADJ:specified
项目	xiang4mu4	NOUN:clause/item
价格	jia4ge2	NOUN:price
利益	li4yi4	NOUN:benefit
阶段	jie1duan4	#2:NOUN:phase
力	li4	NOUN:force
使用	shi3yong4	#2:VERB:use
什么	shen2me5	ADJ:what
当时	dang1shi2	NOUN:that-very-moment
应该	ying1gai1	VERB:should
时候	shi2hou5	NOUN:point-in-time
起	qi3	VERB:rise
标准	biao1zhun3	NOUN:standard
学生	xue2sheng5	NOUN:student
出版	chu1ban3	NOUN:publishing
土地	tu3di4	NOUN:land
比较	bi3jiao4	ADV:relatively
或者	huo4zhe3	#2:CONJ:or
作为	zuo4wei2	VERB:accomplish
全国	quan2guo2	NOUN:whole-nation
虽然	sui1ran2	CONJ:though
参加	can1jia1	VERB:take-part-in
再	#2:zai4	#2:ADV:again
增长	zeng1zhang3	NOUN:increase
所有	suo3you3	ADJ:all
范围	fan4wei2	NOUN:range
长	chang2	NOUN:long
学校	xue2xiao4	NOUN:school
事业	shi4ye4	NOUN:pursuit
任务	ren4wu5	NOUN:task
日本	Ri4ben3	NOUN:Japan
完成	wan2cheng2	#2:VERB:accomplish
百	bai3	NUM:100
想	xiang3	VERB:think
经验	jing1yan4	NOUN:experience
财政	cai2zheng4	NOUN:finance
应当	ying1dang1	#2:VERB:should
决定	jue2ding4	VERB:decide
收入	shou1ru4	NOUN:income
民主	min2zhu3	NOUN:democracy
贸易	mao4yi4	NOUN:trade
目标	mu4biao1	NOUN:goal
世纪	shi4ji4	NOUN:century
书	shu1	NOUN:book
却	que4	#3:ADV:but
办法	ban4fa3	NOUN:ways-and-means
位	#2:wei4	MEAS:person
原因	yuan2yin1	NOUN:reason
自然	zi4ran2	NOUN:natural-world
目前	mu4qian2	NOUN:the-moment
分	fen1	VERB:divide
任何	ren4he2	ADJ:any
责任	ze2ren4	NOUN:blame
上海	Shang4hai3	NOUN:Shanghai
工程	gong1cheng2	NOUN:engineering
进	jin4	VERB:advance
得	#3:de5	PRT:(how?:)
地位	di4wei4	NOUN:status
程度	cheng2du5	#2:NOUN:level
制	zhi4	#3:NOUN:-ism
越	#2:yue4	ADV:exceedingly
战争	zhan4zheng1	NOUN:war
利用	li4yong4	VERB:exploit
斗争	dou4zheng1	NOUN:fight
职工	zhi2gong1	NOUN:workers
采取	cai3qu3	VERB:take
合作	he2zuo4	NOUN:cooperation
取得	qu3de2	VERB:gain
体系	ti3xi4	#4:NOUN:system
高	gao1	VERB:tall
实践	shi2jian4	NOUN:practice
这里	zhe4li3	PRON:here
些	xie1	#2:ADJ:some
反映	fan3ying4	VERB:reflect
给	gei3	VERB:give
指出	zhi3chu1	VERB:point-out
现代	xian4dai4	ADJ:modern
目的	mu4di4	#2:NOUN:goal
国内	guo2nei4	NOUN:interior/domestic
外	wai4	NOUN:outside
不断	bu2duan4	ADV:unceasingly
科技	ke1ji4	NOUN:sci&tech
国民	guo2min2	NOUN:citizen
人类	ren2lei4	NOUN:human-being
量	liang4	NOUN:quality
才	cai2	ADV:later-than-expected
发现	fa1xian4	VERB:find
规模	gui1mo2	NOUN:scale
处	chu3	NOUN:situation
方	fang1	NOUN:direction
达到	da2dao4	VERB:achieve
质量	zhi4liang4	#2:NOUN:quality
成立	cheng2li4	#2:VERB:establish
矛盾	mao2dun4	NOUN:contradiction
结果	jie2guo3	NOUN:result
只是	zhi3shi4	ADV:merely
能够	neng2gou4	#4:VERB:can
促进	cu4jin4	VERB:promote
报告	bao4gao4	NOUN:report
具体	ju4ti3	ADJ:specific
大会	da4hui4	NOUN:plenary-meeting
传统	chuan2tong3	ADJ:traditional
前	qian2	PRT:front
完全	wan2quan2	ADV:completely
业务	ye4wu4	NOUN:professional-work
开展	kai1zhan3	VERB:develop
带	dai4	VERB:take/carry
进一步	jin4yi2bu4	ADV:going-a-step-further
少	shao3	VERB:lack
金融	jin1rong2	#2:NOUN:finance
它们	#2:ta1men5	PRON:they-nonhuman
率	lv4	NOUN:rate
不仅	bu4jin3	ADV:not-the-only-one
竞争	jing4zheng1	NOUN:competition
哲学	zhe2xue2	NOUN:philosophy
因素	yin1su4	NOUN:factor
措施	cuo4shi1	NOUN:measure/step
继续	ji4xu4	VERB:continue
工	gong1	#2:NOUN:work
力量	li4liang5	NOUN:physical-strength
小	xiao3	ADJ:small
相	xiang1	ADV:mutually
发	fa1	VERB:start
按照	an4zhao4	PREP:in-light-of
战略	zhan4lve4	NOUN:strategy
还是	hai2shi5	ADV:or
特点	te4dian3	NOUN:characteristic
才能	cai2neng2	NOUN:ability-only-then
出口	chu1kou3	NOUN:exit
获得	huo4de2	#2:VERB:gain
另	ling4	ADJ:other/another
现象	xian4xiang4	NOUN:phenomenon
机关	ji1guan1	NOUN:office
意见	yi4jian5	NOUN:idea
受到	shou4dao4	VERB:be-given/receive
以后	yi3hou4	#2:PRT:after
造成	zao4cheng2	VERB:create
因	yin1	#2:PREP:because
甚至	shen4zhi4	ADV:even-to-the-point-of
建筑	jian4zhu4	NOUN:building
扩大	kuo4da4	VERB:enlarge
面	mian4	NOUN:face
发挥	fa1hui1	VERB:bring-into-play
商业	shang1ye4	NOUN:commerce
占	zhan4	VERB:make-up/constitute
实际	shi2ji4	ADJ:practical
受	shou4	VERB:receive
正	zheng4	#3:ADV:precisely
之后	zhi1hou4	PRT:later
语言	yu3yan2	NOUN:language
如何	ru2he2	ADV:how/how-about-it
认识	ren4shi5	#2:VERB:know/recognize
未	#3:wei4	ADV:haven't-yet
让	rang4	VERB:yield/allow
开发	kai1fa1	#2:NOUN:development
员	#2:yuan2	#2:NOUN:-er/member
表现	biao3xian4	VERB:show
分析	fen1xi5	VERB:analyze
从而	cong2er2	ADV:thus
创造	chuang4zao4	#2:VERB:create
以来	yi3lai2	PRT:since-(time)
当	dang1	PREP:at-a-time/place
消费	xiao1fei4	NOUN:consumption
那	na4	PRON:that
开	kai1	VERB:divide-into
专业	zhuan1ye4	NOUN:special-field-of-research
实施	shi2shi1	VERB:put-into-effect
保护	bao3hu4	NOUN:protection
条	tiao2	MEAS:strip
确定	que4ding4	VERB:define
时代	shi2dai4	NOUN:times/age
首先	shou3xian1	ADV:first-of-all
十分	shi2fen1	ADV:fully
意识	yi4shi5	NOUN:consciousness
统计	tong3ji4	NOUN:statistics
领域	ling3yu4	NOUN:territory
结合	jie2he2	VERB:combine
入	ru4	VERB:enter
以上	yi3shang4	PRT:above
类	lei4	#2:NOUN:class/category
工人	gong1ren2	NOUN:worker
干部	gan4bu4	NOUN:cadre
家庭	jia1ting2	NOUN:family
事实	shi4shi2	NOUN:fact
定	ding4	#2:VERB:decide
效益	xiao4yi4	NOUN:beneficial-result
作品	zuo4pin3	NOUN:works-of-literature/art
出来	chu1lai5	VERB:come-out
整个	zheng3ge4	ADJ:whole
文	wen2	NOUN:writing
机制	ji1zhi4	#2:NOUN:mechanism
安全	an1quan2	NOUN:safety
设备	she4bei4	NOUN:equipment
保险	bao3xian3	NOUN:insurance
教学	jiao4xue2	NOUN:teaching
呢	ne5	PRT:(..?)
随	sui2	VERB:follow
名	ming2	NUM:name
说明	shuo1ming2	VERB:explain
提	ti2	VERB:carry/raise
坚持	jian1chi2	VERB:presist-in
材料	cai2liao4	#2:NOUN:material
走	zou3	VERB:walk/go
变	bian4	VERB:change
东西	dong1xi5	#2:NOUN:thing
制定	zhi4ding4	VERB:formulate
注意	zhu4yi4	VERB:take-note-of
斯	si1	NOUN:this
非常	fei1chang2	ADV:extraordinarily
国有	guo2you3	ADJ:state-owned
级	#3:ji2	NUM:level
岁	sui4	NUM:year
当然	dang1ran2	ADV:as-it-should-be
写	xie3	VERB:write
孩子	hai2zi5	NOUN:child
至	#2:zhi4	CONJ:till
观念	guan1nian4	NOUN:concept
一样	yi2yang4	VERB:are-same
观点	guan1dian3	NOUN:viewpoint
引起	yin3qi3	VERB:give-rise-to
联系	lian2xi4	NOUN:connection
集团	ji2tuan2	NOUN:group
加	#2:jia1	VERB:add
直接	zhi2jie1	ADV:directly
合同	he2tong5	NOUN:contract
主体	zhu3ti3	NOUN:main-part
委员	wei3yuan2	NOUN:committee-member
重点	zhong4dian3	NOUN:focal-point
然而	ran2er2	#4:ADV:but
接受	jie1shou4	#2:VERB:receive
同	tong2	PREP:with
点	dian3	NOUN:dot
保证	bao3zheng4	VERB:pledge
一切	yi2qie4	#2:NOUN:everything
天	tian1	NUM:sky
一般	yi4ban1	ADV:ordinary
手段	shou3duan4	#3:NOUN:method
行	xing2	NOUN:OK
院	yuan4	NOUN:courtyard
物质	wu4zhi4	#3:NOUN:material
表示	biao3shi4	#2:VERB:show
人物	ren2wu4	NOUN:personage
今天	jin1tian1	NOUN:today
页	#2:ye4	NOUN:book-page
内部	nei4bu4	NOUN:inside
考虑	kao3lv4	VERB:think-over
积极	ji1ji2	ADV:energetic
中华	Zhong1hua2	#2:NOUN:China
经	jing1	NOUN:classic-text
届	jie4	MEAS:session
按	an4	PREP:in-accordance-with
文章	wen2zhang1	NOUN:essay
监督	jian1du1	NOUN:supervisor
性质	xing4zhi4	NOUN:quality/nature
香港	Xiang1gang3	NOUN:Hong-Kong
权利	quan2li4	NOUN:right/privilege
物	wu4	#2:NOUN:thing
千	qian1	NUM:1k
民	min2	#2:NOUN:people
新闻	xin1wen2	NOUN:news
达	da2	VERB:reach
综合	zong1he2	ADJ:synthetic/composite
军事	jun1shi4	NOUN:military-affairs
规律	gui1lv4	#2:NOUN:law
军	jun1	NOUN:army
住	zhu4	VERB:reside
最大	zui4da4	ADJ:biggest
处理	chu3li3	VERB:handle
美	#2:mei3	NOUN:beauty
那些	na4xie1	ADJ:those
法院	fa3yuan4	NOUN:law-court
重大	zhong4da4	ADJ:great
功能	gong1neng2	NOUN:function
期	#2:qi1	#2:NOUN:period-of-time
分子	fen1zi3	#3:NOUN:part
话	#2:hua4	NOUN:speech
台湾	Tai2wan1	NOUN:Taiwan
指导	zhi3dao3	NOUN:guidance
同志	tong2zhi4	NOUN:comrade
行业	hang2ye4	NOUN:profession/industry
集中	ji2zhong1	VERB:assemble
集体	ji2ti3	NOUN:team
过去	guo4qu5	NOUN:the-past
状况	zhuang4kuang4	#2:NOUN:status
卫生	wei4sheng1	NOUN:hygiene
成本	cheng2ben3	NOUN:net-cost
经过	jing1guo4	PREP:undergo
例如	li4ru2	ADV:e.g.
仍	reng2	#2:ADV:still
尔	er3	NOUN:you
现代化	xian4dai4hua4	NOUN:modernization
执行	zhi2xing2	VERB:carry-out/execute
对象	dui4xiang4	NOUN:target
需求	xu1qiu2	#2:NOUN:requirement
体	ti3	NOUN:body
期间	qi1jian1	NOUN:time
指	#2:zhi3	VERB:point
生	sheng1	VERB:birth
中共	Zhong1gong4	NOUN:Chinese-Communist-Party
作者	zuo4zhe3	NOUN:author
学习	xue2xi2	VERB:study
强调	qiang2diao4	VERB:stress
工资	gong1zi1	NOUN:wages
报	bao4	NOUN:newspaper
主	zhu3	NOUN:master
因而	yin1er2	ADV:consequently
适应	shi4ying4	VERB:adapt
机	ji1	NOUN:machine
西方	xi1fang1	NOUN:west
青年	qing1nian2	NOUN:youth
马克思	Ma3ke4si1	NOUN:Marx
上述	shang4shu4	ADJ:above-mentioned
改变	gai3bian4	#2:VERB:change
妇女	fu4nv3	NOUN:women
模式	mo2shi4	NOUN:pattern
保持	bao3chi2	VERB:keep
政	#2:zheng4	#2:NOUN:government
分别	fen1bie2	ADV:separately
尤其	you2qi2	#2:ADV:especially
控制	kong4zhi4	VERB:control
文件	wen2jian4	NOUN:document
组	zu3	NOUN:section
理	#2:li3	NOUN:logic
主席	zhu3xi2	NOUN:meeting-chair
国民党	Guo2min2dang3	NOUN:KMT
学术	xue2shu4	NOUN:learning
概念	gai4nian4	#2:NOUN:idea
减少	jian3shao3	VERB:reduce
教师	jiao4shi1	NOUN:teacher
犯罪	fan4zui4	NOUN:crime
心理	xin1li3	NOUN:psychology
见	jian4	VERB:see
收	shou1	#3:VERB:receive
不可	bu4ke3	VERB:cannot
怎么	zen3me5	#2:ADV:how
费	fei4	NOUN:cost
有限	you3xian4	ADJ:limited
厂	chang3	NOUN:factory
创作	chuang4zuo4	NOUN:create
交通	jiao1tong1	NOUN:traffic
符合	fu2he2	VERB:conform
国务院	Guo2wu4yuan4	NOUN:State-Council
然后	ran2hou4	ADV:after-that
团	tuan2	NOUN:regiment
发表	fa1biao3	VERB:publish
采用	cai3yong4	VERB:select-for-use
副	fu4	NOUN:assistant
态度	tai4du5	NOUN:manner
一直	yi1zhi2	ADV:straight
方针	fang1zhen1	#2:NOUN:policy
据	ju4	PREP:according-to
区域	qu1yu4	#2:NOUN:region
非	fei1	ADJ:not
召开	zhao4kai1	VERB:convene
希望	xi1wang4	VERB:hope
自由	zi4you2	NOUN:freedom
系	xi4	#5:NOUN:system
相当	xiang1dang1	ADV:quite
往往	wang3wang3	ADV:often
行动	xing2dong4	#3:NOUN:action
特征	te4zheng1	#2:NOUN:characteristic
仅	jin3	#3:ADV:only
史	#2:shi3	#2:NOUN:history
仍然	reng2ran2	ADV:yet
逐步	zhu2bu4	ADV:step-by-step
设计	she4ji4	NOUN:plan
先生	xian1sheng5	#2:NOUN:teacher
论	lun4	NOUN:theory
调整	tiao2zheng3	NOUN:adjustment
无法	wu2fa3	#2:ADV:unable
界	#2:jie4	NOUN:boundary
版	ban3	NOUN:printing-plate
生产力	sheng1chan3li4	NOUN:productivity
粮食	liang2shi5	NOUN:grain-food
成果	cheng2guo3	NOUN:achievement
一起	yi1qi3	ADV:together
基金	ji1jin1	#2:NOUN:fund
不过	bu5guo4	#4:ADV:only
并且	bing4qie3	ADV:moreover
队	#2:dui4	NOUN:line-of-people
现实	xian4shi2	NOUN:reality
状态	zhuang4tai4	NOUN:state-of-affairs
设	#2:she4	#3:VERB:establish
开放	kai1fang4	NOUN:opening-up
了解	liao3jie3	VERB:understand
优势	you1shi4	NOUN:superiority
档案	dang4an4	NOUN:record
极	#4:ji2	ADV:extremely
本身	ben3shen1	PRON:itself
度	du4	NOUN:degree
讨论	tao3lun4	VERB:discuss
形势	#2:xing2shi4	NOUN:terrain
超过	chao1guo4	VERB:exceed
值	zhi2	#2:NOUN:value
反对	fan3dui4	VERB:oppose
居民	ju1min2	NOUN:resident
一个	yi2ge4	ADJ:a
由	you2	PREP:by/from
其他	qi2ta1	ADJ:other/else
那么	na4me5	ADV:in-that-way
作出	zuo4chu1	VERB:made
充分	chong1fen4	ADJ:full/ample
很多	hen3duo1	ADJ:very-many
人才	ren2cai2	NOUN:talented-person
